Liquidada,Descrição,Tipo,Cotações,Valor Apostado ($),Risco ($),Lucro/Perda ($),Status
28-out-21 08:32:43,08:25 Stratford Runwiththetide-Vencedor | ID Aposta Betfair 1:248711563277 | Feita 27-out-21 23:33:07 | RF 3.80 3.43,A favor,3.43,3.00, -- , -3.00 ,Perdidas
14-out-21 16:54:40,"Gama x Aquidauanense Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247241425412 | Feita 14-out-21 16:43:01",A favor,1.36,3.00, -- , 1.08 ,Ganhas
14-out-21 16:51:19,"Audax U20 x Itapirense U20 Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247241515519 | Feita 14-out-21 16:44:52",A favor,1.38,3.00, -- , -3.00 ,Perdidas
14-out-21 16:45:39,"Durham (W) x Man Utd (F) Menos de 3,5 gols-Mais/Menos de 3,5 gols | ID Aposta Betfair 1:247241485162 | Feita 14-out-21 16:44:16",A favor,1.40,1.15, -- , -1.15 ,Perdidas
14-out-21 15:51:29,"Jonkopings Sodra x Sundsvall Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247237382500 | Feita 14-out-21 15:41:16",A favor,1.47,3.00, -- , 1.41 ,Ganhas
14-out-21 15:49:47,"Start II v Express IL Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247237360068 | Feita 14-out-21 15:40:54",A favor,1.48,3.00, -- , -3.00 ,Perdidas
14-out-21 15:37:46,"Koge (W) x FC Barcelona (F) Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247236369642 | Feita 14-out-21 15:25:56",A favor,2.10,3.00, -- , -3.00 ,Perdidas
14-out-21 15:35:59,"Bayern Munich (F) x BK Hacken (F) Menos de 3,5 gols-Mais/Menos de 3,5 gols | ID Aposta Betfair 1:247236501265 | Feita 14-out-21 15:27:55",A favor,1.52,3.00, -- , -3.00 ,Perdidas
14-out-21 15:32:03,"Hapoel Raanana (W) v M Bnot Emek Hefer (W) Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247236449207 | Feita 14-out-21 15:27:05",A favor,1.42,3.00, -- , -3.00 ,Perdidas
14-out-21 14:54:41,"MS Hapoel Lod x Beitar Ironi Maale Adumin Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247233147537 | Feita 14-out-21 14:40:57",A favor,1.98,3.00, -- , 2.94 ,Ganhas
14-out-21 14:51:41,"NTNUI v Melhus IL Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247233094066 | Feita 14-out-21 14:40:01",A favor,1.50,3.00, -- , 1.50 ,Ganhas
14-out-21 14:45:26,"FC Maardu x FC Elva Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247233232120 | Feita 14-out-21 14:42:25",A favor,1.63,3.00, -- , -3.00 ,Perdidas
13-out-21 23:52:30,"Antigua GFC x CSD Municipal Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247186965286 | Feita 13-out-21 23:42:10",A favor,1.28,3.00, -- , 0.83 ,Ganhas
13-out-21 23:00:27,"Chicago Red Stars (W) x Orlando Pride SC (W) Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247184900808 | Feita 13-out-21 22:49:41",A favor,1.34,3.00, -- , 1.02 ,Ganhas
13-out-21 22:59:42,"Kansas City (F) x Houston Dash (W) Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247184967487 | Feita 13-out-21 22:51:34",A favor,1.38,3.00, -- , -3.00 ,Perdidas
13-out-21 22:59:20,"Sporting Kansas City II x Atlanta United FC II Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247184838975 | Feita 13-out-21 22:48:10",A favor,1.43,3.00, -- , 1.29 ,Ganhas
13-out-21 22:57:55,"Honduras x Jamaica Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247184869457 | Feita 13-out-21 22:48:53",A favor,1.30,3.00, -- , 0.90 ,Ganhas
13-out-21 22:11:34,"Canadá x Panamá Menos de 4,5 gols-Mais/Menos de 4,5 gols | ID Aposta Betfair 1:247101870275 | Feita 12-out-21 20:32:16",A favor,1.06,3.00, -- , -3.00 ,Perdidas
13-out-21 21:25:41,"Jacuipense BA x FC Atletico Cearense Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247180200299 | Feita 13-out-21 21:15:24",A favor,1.31,3.00, -- , 0.94 ,Ganhas
13-out-21 20:59:46,"Rocha FC x CA Villa Teresa Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247179028859 | Feita 13-out-21 20:49:09",A favor,1.38,3.00, -- , 1.14 ,Ganhas
13-out-21 20:53:23,"Mineros de Zacatecas x Tapatio Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247178712845 | Feita 13-out-21 20:41:45",A favor,1.37,3.00, -- , 1.11 ,Ganhas
13-out-21 20:35:53,"Canadá x Panamá Mais de 0,5 gols-Mais/Menos de 0,5 gols | ID Aposta Betfair 1:247101860544 | Feita 12-out-21 20:32:02",A favor,1.07,3.00, -- , 0.21 ,Ganhas
13-out-21 20:03:14,"Inter Playa Del Carmen x Reboceros De La Piedad Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247176632552 | Feita 13-out-21 19:51:02",A favor,1.44,3.00, -- , 1.32 ,Ganhas
13-out-21 19:59:35,"Union San Felipe x Fernandez Vial Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247176463845 | Feita 13-out-21 19:46:01",A favor,1.57,3.00, -- , 1.71 ,Ganhas
13-out-21 19:55:53,"Correcaminos (Premier) v Leones Negros Udg Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247176399382 | Feita 13-out-21 19:44:13",A favor,1.36,3.00, -- , 1.08 ,Ganhas
13-out-21 19:26:46,"Independiente Juniors x El Nacional Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247175100801 | Feita 13-out-21 19:13:54",A favor,2.04,3.00, -- , 3.12 ,Ganhas
13-out-21 19:22:50,"Gualaceo SC x CDEF Puerto Quito Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247175093113 | Feita 13-out-21 19:13:45",A favor,1.36,3.00, -- , 1.08 ,Ganhas
13-out-21 18:45:55,"Municipal Grecia x AD Guanacasteca Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247173989147 | Feita 13-out-21 18:41:58",A favor,1.47,3.00, -- , -3.00 ,Perdidas
13-out-21 17:53:38,"Tacuary x Sportivo Iteno Menos de 0,5 gols-Mais/Menos de 0,5 gols | ID Aposta Betfair 1:247172338783 | Feita 13-out-21 17:42:14",A favor,1.33,3.00, -- , 0.99 ,Ganhas
13-out-21 17:51:39,"Santiago Morning x Barnechea Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247172257242 | Feita 13-out-21 17:40:08",A favor,1.46,3.00, -- , 1.38 ,Ganhas
13-out-21 17:39:01,"Warrenpoint x Loughgall Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247171825278 | Feita 13-out-21 17:27:38",A favor,1.35,3.00, -- , 1.05 ,Ganhas
13-out-21 17:38:22,"Coventry City (W) x Watford (F) Menos de 3,5 gols-Mais/Menos de 3,5 gols | ID Aposta Betfair 1:247171836658 | Feita 13-out-21 17:27:53",A favor,1.43,3.00, -- , 1.29 ,Ganhas
13-out-21 17:38:02,"Glenavon x Glentoran Menos de 0,5 gols-Mais/Menos de 0,5 gols | ID Aposta Betfair 1:247171802113 | Feita 13-out-21 17:27:08",A favor,1.40,3.00, -- , 1.20 ,Ganhas
13-out-21 17:36:52,"Cefn Druids x Aberystwyth Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247171777724 | Feita 13-out-21 17:26:33",A favor,1.43,3.00, -- , 1.29 ,Ganhas
13-out-21 17:28:43,"CA Lanus (Res) x CA Banfield (Res) Menos de 0,5 gols-Mais/Menos de 0,5 gols | ID Aposta Betfair 1:247171349570 | Feita 13-out-21 17:17:10",A favor,1.35,3.00, -- , 1.05 ,Ganhas
13-out-21 17:26:01,"Tottenham (F) x Charlton (F) Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247171224671 | Feita 13-out-21 17:14:47",A favor,1.55,3.00, -- , 1.65 ,Ganhas
13-out-21 17:25:12,"Merida AD x Moralo CP Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247171105087 | Feita 13-out-21 17:12:41",A favor,1.43,3.00, -- , 1.29 ,Ganhas
13-out-21 17:24:21,"Birmingham (F) x Brighton (F) Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247171120912 | Feita 13-out-21 17:12:58",A favor,1.37,3.00, -- , 1.11 ,Ganhas
13-out-21 17:23:01,"Reading (F) x Bristol City (F) Menos de 0,5 gols-Mais/Menos de 0,5 gols | ID Aposta Betfair 1:247171234358 | Feita 13-out-21 17:14:59",A favor,1.53,3.00, -- , -3.00 ,Perdidas
13-out-21 17:21:42,"Atletico Goianiense U20 v Morrinhos FC U20 Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247171372140 | Feita 13-out-21 17:17:35",A favor,1.42,3.00, -- , -3.00 ,Perdidas
13-out-21 17:01:14,"Liverpool (F) x Aston Villa (F) Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247169805466 | Feita 13-out-21 16:49:10",A favor,1.32,3.00, -- , 0.96 ,Ganhas
13-out-21 16:56:28,"EC Sao Jose (W) v EC Taubate (W) Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247169550229 | Feita 13-out-21 16:44:31",A favor,1.42,3.00, -- , 1.26 ,Ganhas
13-out-21 16:53:35,"Sao Paulo (W) v Ferroviaria S/A Araraquara (W) Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247169473904 | Feita 13-out-21 16:43:12",A favor,1.52,3.00, -- , -3.00 ,Perdidas
13-out-21 16:25:54,"Djk Adler Union Frintrop v Sportfreunde Baumberg Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247167518913 | Feita 13-out-21 16:17:45",A favor,1.35,3.00, -- , 1.05 ,Ganhas
13-out-21 16:19:03,"Club Atletico Saguntino v Hercules CF II Menos de 3,5 gols-Mais/Menos de 3,5 gols | ID Aposta Betfair 1:247167351035 | Feita 13-out-21 16:15:49",A favor,1.25,3.00, -- , -3.00 ,Perdidas
13-out-21 16:18:36,"SG Bad Soden v 1. FC 06 Erlensee Menos de 4,5 gols-Mais/Menos de 4,5 gols | ID Aposta Betfair 1:247167376435 | Feita 13-out-21 16:16:06",A favor,1.38,3.00, -- , -3.00 ,Perdidas
13-out-21 16:03:21,"Polonia Warsaw x Mamry Gizycko Menos de 3,5 gols-Mais/Menos de 3,5 gols | ID Aposta Betfair 1:247165050086 | Feita 13-out-21 15:50:58",A favor,1.56,3.00, -- , 1.68 ,Ganhas
13-out-21 16:00:18,"Canoneros Marina x Yalmakan FC Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247164736302 | Feita 13-out-21 15:46:46",A favor,1.42,0.84, -- , 0.36 ,Ganhas
13-out-21 15:53:36,"Baltika x Volgar Astrakhan Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247164464434 | Feita 13-out-21 15:43:21",A favor,1.43,3.00, -- , 1.29 ,Ganhas
13-out-21 15:53:21,"SV Donau x Favoritner AC Menos de 3,5 gols-Mais/Menos de 3,5 gols | ID Aposta Betfair 1:247164340563 | Feita 13-out-21 15:41:43",A favor,1.47,3.00, -- , 1.41 ,Ganhas
13-out-21 15:52:34,"Guijuelo x CDA Navalcarnero Menos de 3,5 gols-Mais/Menos de 3,5 gols | ID Aposta Betfair 1:247164357320 | Feita 13-out-21 15:41:57",A favor,1.38,3.00, -- , 1.14 ,Ganhas
13-out-21 15:50:14,"FC Honka U20 x TPS Turku U20 Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247164246376 | Feita 13-out-21 15:40:29",A favor,1.60,3.00, -- , -3.00 ,Perdidas
13-out-21 14:56:29,"Ordusporl Isletmeciligi x Fethiyespor Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247159589062 | Feita 13-out-21 14:41:05",A favor,1.49,3.00, -- , 1.47 ,Ganhas
13-out-21 14:53:14,"Beitar Tel Aviv Ramla x Hapoel Raanana Menos de 3,5 gols-Mais/Menos de 3,5 gols | ID Aposta Betfair 1:247159543542 | Feita 13-out-21 14:40:35",A favor,1.32,3.00, -- , 0.96 ,Ganhas
13-out-21 14:48:24,"FC Stockholm Internazionale x Elfsborg Menos de 3,5 gols-Mais/Menos de 3,5 gols | ID Aposta Betfair 1:247159604303 | Feita 13-out-21 14:41:16",A favor,1.37,3.00, -- , 1.11 ,Ganhas
13-out-21 13:54:28,"Magallanes x Univ de Concepcion Menos de 3,5 gols-Mais/Menos de 3,5 gols | ID Aposta Betfair 1:247155522543 | Feita 13-out-21 13:43:28",A favor,1.39,3.00, -- , 1.17 ,Ganhas
13-out-21 13:53:57,"Kamaz x Yenisey Krasnoyarsk Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247155451542 | Feita 13-out-21 13:42:16",A favor,1.37,3.00, -- , 1.11 ,Ganhas
13-out-21 13:52:08,"CD Ebro x CD Izarra Menos de 0,5 gols-Mais/Menos de 0,5 gols | ID Aposta Betfair 1:247155443642 | Feita 13-out-21 13:42:07",A favor,1.27,3.00, -- , -3.00 ,Perdidas
13-out-21 13:51:48,"Santa Eulalia x Lleida Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247155302167 | Feita 13-out-21 13:39:31",A favor,1.33,3.00, -- , 0.99 ,Ganhas
13-out-21 13:49:19,"Akron-L Togliatti x Alania Vladikavkaz Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247155365963 | Feita 13-out-21 13:40:43",A favor,1.61,3.00, -- , -3.00 ,Perdidas
13-out-21 13:22:30,"FK Metallurg Lipetsk x FK Veles Moscow Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247153292363 | Feita 13-out-21 13:11:40",A favor,1.36,3.00, -- , 1.08 ,Ganhas
13-out-21 13:18:21,"Partizan Belgrade x FK Trayal Krusevac Menos de 3,5 gols-Mais/Menos de 3,5 gols | ID Aposta Betfair 1:247153277296 | Feita 13-out-21 13:11:28",A favor,1.61,3.00, -- , 1.84 ,Ganhas
13-out-21 12:57:24,"Fakel x SKA-Khabarovsk Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247151189949 | Feita 13-out-21 12:47:22",A favor,1.31,3.00, -- , 0.93 ,Ganhas
13-out-21 11:57:25,"Kabwe Warriors x Zesco United Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247146501243 | Feita 13-out-21 11:45:54",A favor,1.24,3.00, -- , 0.72 ,Ganhas
13-out-21 11:56:50,"Follonica Gavorrano v US Pianese Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247146331786 | Feita 13-out-21 11:43:27",A favor,1.43,3.00, -- , 1.29 ,Ganhas
13-out-21 11:50:47,"Rosenborg BK (W) x LSK Kvinner (W) Menos de 3,5 gols-Mais/Menos de 3,5 gols | ID Aposta Betfair 1:247146011829 | Feita 13-out-21 11:39:34",A favor,1.46,3.00, -- , 1.38 ,Ganhas
13-out-21 11:49:30,"Unia Skierniewice x Bron Radom Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247145989313 | Feita 13-out-21 11:39:17",A favor,1.40,3.00, -- , 1.20 ,Ganhas
13-out-21 11:48:05,"Partizan Bardejov x FK Humenne Menos de 0,5 gols-Mais/Menos de 0,5 gols | ID Aposta Betfair 1:247145961518 | Feita 13-out-21 11:38:58",A favor,1.32,3.00, -- , 0.96 ,Ganhas
13-out-21 11:45:59,"TS Sokol Aleksandrow x KS Kutno Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247146120075 | Feita 13-out-21 11:40:51",A favor,1.44,0.87, -- , -0.87 ,Perdidas
13-out-21 11:45:59,"TS Sokol Aleksandrow x KS Kutno Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247146135778 | Feita 13-out-21 11:41:04",A favor,1.44,2.13, -- , -2.13 ,Perdidas
13-out-21 11:45:33,"West Ham U23 x Exeter City FC U23 Menos de 3,5 gols-Mais/Menos de 3,5 gols | ID Aposta Betfair 1:247146312078 | Feita 13-out-21 11:43:11",A favor,1.87,3.00, -- , -3.00 ,Perdidas
13-out-21 11:45:08,"Blonianka Blonie x Pilica Bialobrzegi Menos de 3,5 gols-Mais/Menos de 3,5 gols | ID Aposta Betfair 1:247145821912 | Feita 13-out-21 11:37:35",A favor,1.31,3.00, -- , -3.00 ,Perdidas
13-out-21 10:55:46,"Khonkaen x Nakhon Pathom Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247141521784 | Feita 13-out-21 10:45:12",A favor,1.31,3.00, -- , 0.93 ,Ganhas
13-out-21 10:55:10,"Udon Thani x Rajpracha Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247141476448 | Feita 13-out-21 10:44:35",A favor,1.23,3.00, -- , 0.69 ,Ganhas
13-out-21 10:51:54,"Radnik Surdulica x FK Radnicki 1923 Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247141431440 | Feita 13-out-21 10:44:00",A favor,1.31,3.00, -- , 0.93 ,Ganhas
13-out-21 10:50:55,"Krasnodar II x FK Torpedo Moskva Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247141389373 | Feita 13-out-21 10:43:22",A favor,1.25,3.00, -- , 0.75 ,Ganhas
13-out-21 10:23:02,"Tomsk x Olimp-Dolgoprudny Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247138746501 | Feita 13-out-21 10:12:38",A favor,1.32,3.00, -- , 0.96 ,Ganhas
13-out-21 10:16:23,"Ayutthaya United x Navy FC Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247138804735 | Feita 13-out-21 10:13:27",A favor,1.32,3.00, -- , -3.00 ,Perdidas
13-out-21 10:00:55,"BG Pathumthani United x Muangthong Utd Menos de 3,5 gols-Mais/Menos de 3,5 gols | ID Aposta Betfair 1:247136851859 | Feita 13-out-21 09:52:13",A favor,1.27,3.00, -- , 0.81 ,Ganhas
13-out-21 10:00:07,"Rayong FC x Trat Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247136438841 | Feita 13-out-21 09:47:22",A favor,1.35,3.00, -- , 1.04 ,Ganhas
13-out-21 09:59:47,"Ranong FC x Chiang Mai Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247136464807 | Feita 13-out-21 09:47:41",A favor,1.44,3.00, -- , 1.32 ,Ganhas
13-out-21 09:57:50,"Kusadasispor x Sile Yildizspor Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247136421391 | Feita 13-out-21 09:47:09",A favor,1.50,3.00, -- , 1.50 ,Ganhas
13-out-21 09:56:35,"68 Aksaray Belediyespor x Duzcespor Menos de 3,5 gols-Mais/Menos de 3,5 gols | ID Aposta Betfair 1:247136033186 | Feita 13-out-21 09:42:34",A favor,1.34,3.00, -- , 1.02 ,Ganhas
13-out-21 09:56:09,"76 Igdir Belediyespor x Yeni Orduspor Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247136239246 | Feita 13-out-21 09:44:56",A favor,1.38,3.00, -- , 1.14 ,Ganhas
13-out-21 09:55:08,"Tepecik Belediye x Modafen Futbol Kulubu Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247135973835 | Feita 13-out-21 09:41:50",A favor,1.30,3.00, -- , 0.90 ,Ganhas
13-out-21 09:54:01,"Ofspor x Kirikkale Buyuk Anadoluspor FC Menos de 0,5 gols-Mais/Menos de 0,5 gols | ID Aposta Betfair 1:247136056673 | Feita 13-out-21 09:42:53",A favor,1.28,3.00, -- , 0.84 ,Ganhas
13-out-21 09:51:10,"Fatsa Belediyespor x Bergama Belediyespor Menos de 0,5 gols-Mais/Menos de 0,5 gols | ID Aposta Betfair 1:247135812997 | Feita 13-out-21 09:39:46",A favor,1.32,3.00, -- , 0.96 ,Ganhas
13-out-21 09:51:03,"Kizilcabolukspor x Carsambaspor Menos de 0,5 gols-Mais/Menos de 0,5 gols | ID Aposta Betfair 1:247135850652 | Feita 13-out-21 09:40:17",A favor,1.39,3.00, -- , 1.17 ,Ganhas
13-out-21 08:54:22,"Kasetsart FC x Phrae United Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247131405164 | Feita 13-out-21 08:42:08",A favor,1.37,3.00, -- , 1.11 ,Ganhas
13-out-21 08:45:32,"Customs United x Lampang FC Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247131474076 | Feita 13-out-21 08:42:59",A favor,1.50,2.12, -- , -2.12 ,Perdidas
13-out-21 00:45:43,Struff/Zverev v Bopanna/Shapovalov Struff/Zverev-Resultado Final | ID Aposta Betfair 1:247014065414 | Feita 11-out-21 22:38:23,A favor,1.64,3.00, -- , -3.00 ,Perdidas
12-out-21 23:55:28,"Ld Alajuelense x Santos De Guapiles Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247107387215 | Feita 12-out-21 22:56:22",A favor,1.24,3.00, -- , 0.72 ,Ganhas
12-out-21 23:55:28,"Ld Alajuelense x Santos De Guapiles Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247108965198 | Feita 12-out-21 23:43:43",A favor,1.38,3.00, -- , 1.14 ,Ganhas
12-out-21 23:31:22,"Danubio x Juventud De Las Piedras Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247108228969 | Feita 12-out-21 23:18:54",A favor,1.41,3.00, -- , 1.23 ,Ganhas
12-out-21 23:30:13,"Cruzeiro x Botafogo Mais de 0,5 gols-Mais/Menos de 0,5 gols | ID Aposta Betfair 1:247107538597 | Feita 12-out-21 23:00:07",A favor,2.06,3.00, -- , -3.00 ,Perdidas
12-out-21 23:30:11,"Cruzeiro x Botafogo Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247107544828 | Feita 12-out-21 23:00:17",A favor,1.16,3.00, -- , 0.48 ,Ganhas
12-out-21 23:28:02,"Bahia x Palmeiras Mais de 0,5 gols-Mais/Menos de 0,5 gols | ID Aposta Betfair 1:247098102764 | Feita 12-out-21 18:50:58",A favor,1.09,3.00, -- , -3.00 ,Perdidas
12-out-21 23:27:54,"Bahia x Palmeiras Menos de 4,5 gols-Mais/Menos de 4,5 gols | ID Aposta Betfair 1:247098106418 | Feita 12-out-21 18:51:05",A favor,1.11,3.00, -- , 0.32 ,Ganhas
12-out-21 23:27:33,"Juazeirense BA x Central PE Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247106908301 | Feita 12-out-21 22:44:17",A favor,1.46,3.00, -- , 1.38 ,Ganhas
12-out-21 23:25:34,"Treze v Floresta EC B Menos de 4,5 gols-Mais/Menos de 4,5 gols | ID Aposta Betfair 1:247108161582 | Feita 12-out-21 23:16:50",A favor,1.29,3.00, -- , 0.87 ,Ganhas
12-out-21 23:22:52,"Edmonton x Atletico Ottawa Menos de 4,5 gols-Mais/Menos de 4,5 gols | ID Aposta Betfair 1:247107467512 | Feita 12-out-21 22:58:14",A favor,1.65,3.00, -- , -3.00 ,Perdidas
12-out-21 23:14:08,"Edmonton x Atletico Ottawa Mais de 3,5 gols-Mais/Menos de 3,5 gols | ID Aposta Betfair 1:247107460038 | Feita 12-out-21 22:58:08",A favor,1.29,3.00, -- , 0.87 ,Ganhas
12-out-21 23:13:29,"Ld Alajuelense x Santos De Guapiles Mais de 0,5 gols-Mais/Menos de 0,5 gols | ID Aposta Betfair 1:247107378891 | Feita 12-out-21 22:56:07",A favor,1.26,3.00, -- , 0.78 ,Ganhas
12-out-21 22:59:28,"Tlaxcala F.C x Pumas Tabasco Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247107186571 | Feita 12-out-21 22:51:08",A favor,1.25,3.00, -- , 0.75 ,Ganhas
12-out-21 22:57:36,"Juazeirense BA x Central PE Mais de 0,5 gols-Mais/Menos de 0,5 gols | ID Aposta Betfair 1:247106946314 | Feita 12-out-21 22:45:18",A favor,1.28,3.00, -- , 0.84 ,Ganhas
12-out-21 22:30:14,"Deportes Iquique x Cobreloa Calama Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247102423502 | Feita 12-out-21 20:49:18",A favor,1.78,3.00, -- , 2.34 ,Ganhas
12-out-21 22:30:14,"Deportes Iquique x Cobreloa Calama Menos de 1,5 gols-Mais/Menos de 1,5 gols | ID Aposta Betfair 1:247105758353 | Feita 12-out-21 22:15:45",A favor,1.43,3.00, -- , 1.29 ,Ganhas
12-out-21 21:20:30,"Deportes Iquique x Cobreloa Calama Mais de 0,5 gols-Gols no 1.º Tempo 0.5 | ID Aposta Betfair 1:247102395634 | Feita 12-out-21 20:48:26",A favor,1.65,3.00, -- , -3.00 ,Perdidas
12-out-21 21:20:30,"Deportes Iquique x Cobreloa Calama Mais de 0,5 gols-Gols no 1.º Tempo 0.5 | ID Aposta Betfair 1:247102413163 | Feita 12-out-21 20:48:56",A favor,1.64,3.00, -- , -3.00 ,Perdidas
12-out-21 21:00:01,"Sampaio Corrêa x Vitória Menos de 4,5 gols-Mais/Menos de 4,5 gols | ID Aposta Betfair 1:247098726055 | Feita 12-out-21 19:08:52",A favor,1.13,3.00, -- , 0.39 ,Ganhas
12-out-21 20:57:47,"Bragantino x Atlético-GO Menos de 4,5 gols-Mais/Menos de 4,5 gols | ID Aposta Betfair 1:247098080885 | Feita 12-out-21 18:50:18",A favor,1.10,3.00, -- , 0.30 ,Ganhas
12-out-21 20:30:36,"Bragantino x Atlético-GO Mais de 0,5 gols-Mais/Menos de 0,5 gols | ID Aposta Betfair 1:247098079045 | Feita 12-out-21 18:50:14",A favor,1.10,3.00, -- , 0.30 ,Ganhas
12-out-21 20:01:35,"Itabaiana x Bahia De Feira BA Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247097361113 | Feita 12-out-21 18:28:43",A favor,1.43,3.00, -- , 1.29 ,Ganhas
12-out-21 19:58:22,"San Luis x Club Deportes Santa Cruz Mais de 0,5 gols-Mais/Menos de 0,5 gols | ID Aposta Betfair 1:247097382910 | Feita 12-out-21 18:29:22",A favor,1.20,3.00, -- , -3.00 ,Perdidas
12-out-21 19:58:19,"San Luis x Club Deportes Santa Cruz Menos de 2,5 gols-Mais/Menos de 2,5 gols | ID Aposta Betfair 1:247097390661 | Feita 12-out-21 18:29:36",A favor,1.36,3.00, -- , 1.08 ,Ganhas
